"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
746,"02/08/2016","Daily Ninja","Consumer Internet","Hyperlocal daily needs Products delivery platform","Bangalore","Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati","Seed Funding",NA,NA
747,"02/08/2016","Yumlane","Food & Beverage","Retail Food & Snack Offline centres","Mumbai","Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain","Seed Funding",1e+06,NA
748,"03/08/2016","Xcode","Healthcare","Personal Genomics","Chennai","RoundGlass Partners","Private Equity",NA,NA
749,"03/08/2016","ExtraCarbon","Consumer Internet","Waste Recycle Management platform","Gurgaon","Brand Capital","Seed Funding",225000,NA
750,"03/08/2016","FlickBay","Consumer Internet","Mobile Based Bollywood Discovery platform","Mumbai","Paul Roy","Seed Funding",890000,NA
751,"04/08/2016","Petoo","Consumer Internet","Food Delivery Platform","Bangalore","Existing Investors","Seed Funding",5e+05,NA
752,"04/08/2016","lehlehsports","Others","Sports Arena discovery","New Delhi","Anglian Omega Network","Seed Funding",NA,NA
753,"05/08/2016","Tricog","Healthcare","Healthcare Analytics Platform","Bangalore","Inventus Capital Partners, Blume Ventures & Others","Private Equity",NA,NA
754,"06/08/2016","VST Travels","Technology","Travel Ticket Booking Software","Kerala","Promatus Group","Seed Funding",27000,NA
755,"08/08/2016","AdPushUp","Technology","Ad optimization Platform","New Delhi","Geniee, Inc, Purvi Capital","Private Equity",NA,NA
756,"08/08/2016","Wefly Indoor Skydiving","Others","Indoor Skydiving Sports Provider","Mumbai","Swastika Company Ltd.","Seed Funding",40000,NA
757,"08/08/2016","Mojarto","eCommerce","Original Art, Digital Prints etailer","Gurgaon","Undisclosed Investors","Seed Funding",445000,NA
758,"08/08/2016","Zipgrid","Consumer Internet","Community services platform","Mumbai","1Crowd (through crowd funding)","Seed Funding",2e+05,NA
759,"09/08/2016","MobiDent","Healthcare","Dental Protection Solution","Bangalore","Centre for Innovation Incubation and Entrepreneurship (CIIE)","Seed Funding",NA,NA
760,"09/08/2016","Zeolr/RespirON","Technology","Healthcare related IoT platform","New Delhi","Centre for Innovation Incubation and Entrepreneurship (CIIE)","Seed Funding",NA,NA
761,"10/08/2016","Vebbler","Consumer Internet","Photo Sharing Mobile App","Bangalore","Anupam Mittal, Sharad Sharma & 14 others","Seed Funding",5e+05,NA
762,"10/08/2016","Bombay Shaving Company","eCommerce","Men’s Grooming Product etailer","New Delhi","Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others","Seed Funding",6e+05,NA
763,"11/08/2016","Travelyaari","Consumer Internet","Online ticket booking platform","Bangalore","Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd","Private Equity",7e+06,NA
764,"11/08/2016","91SpringBoard","Consumer Internet","Co-Working Spaces Discovery & Booking platform","Mumbai","Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others","Private Equity",NA,NA
765,"11/08/2016","Genextstudents","Consumer Internet","Online Tutoring Service provider","Mumbai","1Crowd (through crowdfunding)","Seed Funding",209000,NA
766,"11/08/2016","Zenoti","Technology","Cloud Based Software Solutions Provider","Hyderabad","Norwest Venture Partners, Accel India","Private Equity",1.5e+07,NA
767,"12/08/2016","Crofarm","Technology","Agri-Tech supply chain Solution provider","Gurgaon","Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,","Private Equity",1500000,NA
768,"12/08/2016","Faircent.com","Consumer Internet","peer-to-peer lending platform","Gurgaon","Brand Capital","Private Equity",1500000,NA
769,"12/08/2016","Innovaccer","Technology","Integrated Enterprise Analytics Platform","Noida","Westbridge Capital Partners","Private Equity",15600000,NA
770,"12/08/2016","Cuberoot","Technology","Data Analytics & Audience Management Platform","Gurgaon","Undisclosed Investors","Seed Funding",5e+05,NA
771,"12/08/2016","Funcastic","Consumer Internet","B2C vernacular podcast aggregator platform","New Delhi","HT Media Ltd, North Base Media","Seed Funding",NA,NA
772,"15/08/2016","Buttercups","ECommerce","Women Intimate Wear eTailer","Bangalore","Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese","Seed Funding",NA,NA
773,"16/08/2016","Zappfresh","ECommerce","Raw Meat Products eTailer","Gurgaon","Ashvin Chadha","Seed Funding",NA,NA
774,"16/08/2016","OyoRooms","Consumer Internet","Budget Hotels Aggregator","New Delhi","SoftBank Group","Private Equity",6.2e+07,NA
775,"16/08/2016","Hike","Consumer Internet","Mobile Messaging App","New Delhi","Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises","Private Equity",1.75e+08,NA
776,"16/08/2016","Joolz","eCommerce","Online Jewellery Store","Mumbai","Powerhouse Ventures, M&S Partners","Private Equity",5e+05,NA
777,"16/08/2016","SaleBhai","eCommerce","Sweets, Dry Fruits & Handicrafts etailer","Ahmedabad","Brand Capital","Private Equity",1500000,NA
778,"16/08/2016","Makkajai","Technology","Online & Mobile learning for kids","Pune","Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd","Seed Funding",250000,NA
779,"16/08/2016","Gradopedia","Consumer Internet","Career progression Portal","Mumbai","Undisclosed Dubai based HNIs","Seed Funding",NA,NA
780,"17/08/2016","MaalGaadi","Logistics","Online Logistics Marketplace","Indore","Swan Angel Network,Sachin Khandelwal and others","Seed Funding",375000,NA
781,"17/08/2016","ZiPi","Technology","Mobile Chatbot App","Bangalore","Swan Angel Network","Seed Funding",NA,NA
782,"17/08/2016","Appknox","Technology","Mobile security solutions","Bangalore","SeedPlus, Infocomm Investments, Accel Partners RNT Associates","Private Equity",675000,NA
783,"17/08/2016","Pikkol","Logistics","Packers & Movers","Bangalore","Indian Angel Network","Seed Funding",NA,NA
784,"18/08/2016","Meesho","eCommerce","Mobile based eCommerce SAAS platform","Bangalore","Kashyap Deorah, Rajul Garg, Maninder Gulati","Seed Funding",NA,NA
785,"18/08/2016","Sesame Software","Technology","Financial Technology Solutions Provider","Kozhikode","Speridian Technologies","Private Equity",NA,NA
786,"19/08/2016","Quikr","Consumer Internet","Classified Listings platform","Mumbai","Brand Capital","Private Equity",2e+07,NA
787,"19/08/2016","Digio","Technology","Aadhar based Document Signing platform","Bangalore","Rainmatter","Private Equity",375000,NA
788,"19/08/2016","Ziffity","Technology","Full Service Ecommerce Agency","Chennai","Aspire Systems","Private Equity",NA,NA
789,"22/08/2016","Zzungry","Consumer Internet","Food Delivery platform","Bangalore","Satish Vasudeva, Madhusudhan Jujare & Others","Seed Funding",NA,NA
790,"22/08/2016","Puro Wellness","healthcare","Organic,  Natural  Food substitute manufacturer","Mumbai","Torrent Group","Private Equity",3.7e+07,NA
791,"22/08/2016","Fitternity","Consumer Internet","Fitness Gym & Services Discovery platform","Mumbai","Saha Fund, Exfinity Venture Partners & Others","Private Equity",NA,NA
792,"23/08/2016","TAC Security","Technology","Cyber-Security Solutions Provider","New Delhi","Vijay Kedia","Seed Funding",NA,NA
793,"23/08/2016","Notesgen","Consumer Internet","Online Notes Sharing Portal","New Delhi","Riju Gupta, Kamal Chabra","Seed Funding",1e+05,NA
794,"23/08/2016","NearU","Consumer Internet","Marketing app for retailers","Mumbai","Dr. Goutam Challagalla","Seed Funding",NA,NA
795,"23/08/2016","Octo.ai","Technology","Artificial Intelligence based marketing platform","New Delhi","Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal","Seed Funding",2e+05,NA
796,"24/08/2016","ShaadiSaga","Consumer Internet","Wedding Website Creator","New Delhi","ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani","Seed Funding",NA,NA
797,"24/08/2016","UnaAcademy","Consumer Internet","Free Interactive education platform","Bangalore","Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,  Kunal Shah, Sandeep Tandon, Ashish Tulsian","Private Equity",1e+06,NA
798,"24/08/2016","Advenio","Technology","Clinical Imaging Solution Provider","Chandigarh","Kalaari Capital","Seed Funding",1e+05,NA
799,"24/08/2016","Guarented","eCommerce","Home Furnishing rental marketplace","Bangalore","Kalaari Capital","Seed Funding",5e+05,NA
800,"24/08/2016","Beyond Evolution","Technology","Mobile Apps & Tech Services provider","Gurgaon","Vineet Taneja, Kamal Puri","Seed Funding",NA,NA
801,"24/08/2016","Uber Dreams","eCommerce","Dreams fulfilling marketplace","Mumbai","Mohit Lalvani","Seed Funding",5e+05,NA
802,"24/08/2016","Convegenius","Education","Edutainment platform","Noida","Michael and Susan Dell Foundation","Private Equity",9e+05,NA
803,"24/08/2016","UrbanLadder","eCommerce","Online Furniture Store","Mumbai","Trifecta Capital","Private Equity",3e+06,NA
804,"24/08/2016","enCashea","Consumer Internet","Scrap Collection and Recycling platform","Bangalore","Kunal Shah, Sandeep Tandon, Tracxn Labs","Seed Funding",NA,NA
805,"25/08/2016","EngineerBabu","Technology","Mobile App & Web Development company","Indore","Scale Ventures","Seed Funding",NA,NA
806,"25/08/2016","Cult","Healthcare","Health and Fitness Centres","Bangalore","CureFit","Private Equity",3e+06,NA
807,"25/08/2016","WitWorks","Technology","Consumer IoT Startup","Bangalore","Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha","Seed Funding",NA,NA
808,"25/08/2016","NearFox","Consumer Internet","Local Lifestyle Content and Discovery Platform","Mumbai","Globevestor Angel Fund, Devendra Rane, Ravi Jain,  Arpan Nagdeve","Seed Funding",NA,NA
809,"25/08/2016","ZoomCar","Consumer Internet","Self-driven car booking platform","Bangalore","Ford Smart Mobility Llc","Private Equity",2.4e+07,NA
810,"26/08/2016","Plix","Consumer Internet","Photo and Video Sharing App","Gurgaon","Instalabs","Seed Funding",5e+05,NA
811,"26/08/2016","Mobikwik","Consumer Internet","Digital Wallet platform","Gurgaon","Net1 UEPS Technologies Inc","Private Equity",4e+07,NA
812,"26/08/2016","MyDidi","Consumer Internet","on-demand, hyper-local Cleaning services provider","Mumbai","Undisclosed Ex Mckinsey Directors and Partners","Seed Funding",550000,NA
813,"26/08/2016","CrownIt","Consumer Internet","Cashback Mobile app","Gurgaon","Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran","Seed Funding",NA,NA
814,"29/08/2016","LoanTap","Consumer Internet","Lending platform for Salaried professionals","Mumbai","Dr. Abhishek Pandey, Jaysukh Sapra","Private Equity",3e+06,NA
815,"29/08/2016","Runnr","Consumer Internet","hyperlocal Logistics services provider","Bangalore","Nexus Venture Partners, Blume Ventures","Private Equity",7e+06,NA
816,"29/08/2016","Zolo","Consumer Internet","on-demand online talent marketplace","Noida","Hitouch AG","Private Equity",NA,NA
817,"29/08/2016","Notion Press","Consumer Internet","Self-Publishing books platform","Chennai","Undisclosed HNI investors","Private Equity",1e+06,NA
818,"29/08/2016","LivSpace","Consumer Internet","Online portal for Home Design","Bangalore","Bessemer Venture Partners, Jungle Ventures, Helion Ventures","Private Equity",1.5e+07,NA
819,"30/8/2016","iAugmentor Labs","Technology","Assessment & Learning Platform","Gurgaon","Rajasthan Angel Investor Network & Others","Seed Funding",149000,NA
820,"30/8/2016","DayBox","Consumer Internet","Fruit & Vegetable Delivery platform","New Delhi","Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others","Seed Funding",104000,NA
821,"30/8/2016","Paytm","eCommerce","Mobile Wallet & ECommerce platform","Bangalore","MediaTek Inc.","Private Equity",6e+07,NA
822,"30/8/2016","CropIn","Technology","Agriculture Technology Solutions","Bangalore","Sophia Investment ApS","Private Equity",2e+06,NA
823,"30/8/2016","Canvera","Consumer Internet","Photographer Discovery & Information platform","Bangalore","Info Edge (India) Ltd","Private Equity",3e+06,NA
824,"30/8/2016","Prime Focus Technologies","Technology","Hybrid Cloud technology enabled Media ERP platform","Mumbai","Ambit Pragma","Private Equity",NA,NA
825,"31/8/2016","Flyrobe","eCommerce","Online fashion rental platform","Mumbai","IDG Ventures, Sequoia Capital, GREE Ventures","Private Equity",5300000,NA
826,"31/8/2016","inclov","Consumer Internet","Matchmaking App for Disabled","Mumbai","Sarbvir Singh, Raghav Bahl","Seed Funding",NA,NA
827,"01/7/2016","RazorPay","Consumer Internet","Online Payment Gateway","Bangalore","MasterCard","Private Equity",NA,NA
828,"01/7/2016","DarwinBox","Technology","HR Software Services Startup","Hyderabad","3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners","Seed Funding",NA,NA
829,"01/07/2016","Venture Catalysts","Consumer Internet","Seed Investment & Innovation Platform","Mumbai","Zaffiro Ventures","Seed Funding",5e+05,NA
830,"01/07/2016","PressPlay TV","Consumer Internet","Video Content Discovery Platform","New Delhi","Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.","Private Equity",NA,NA
831,"02/07/2016","Playment","Consumer Internet","Mobile Marketplace for Crowdsourced Work","Bangalore","SAIF Partners","Private Equity",7e+05,NA
832,"04/07/2016","WealthTrust","Consumer Internet","Wealth Management App","Mumbai","India Quotient","Seed Funding",NA,NA
833,"04/07/2016","Curefit","Consumer Internet","Online Preventive Healthcare Platform","Bangalore","Accel Partners, IDG Ventures, Kalaari Capital","Private Equity",1.5e+07,NA
834,"04/07/2016","StitchWood","eCommerce","Custom Furniture Online","Mumbai","Deepak Gupta","Seed Funding",2e+05,NA
835,"04/07/2016","Grab.in","Logistics","hyperlocal logistics service","Mumbai","Aramex Ventures Llc","Private Equity",2e+06,NA
836,"04/07/2016","Fulfil.IO","Consumer Internet","Cloud Based ERP Software","US","Rajan Anandan","Seed Funding",NA,NA
837,"04/07/2016","NeoGrowth","Finance","SME Lending platform","Mumbai","IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada","Private Equity",1.6e+07,NA
838,"05/07/2016","SeeDoc","Consumer Internet","Video Based Doctor Consulting platform App","Gurgaon","YourNest Angel Fund  & Others","Private Equity",1e+06,NA
839,"05/07/2016","BookMyShow","Consumer Internet","Event & Movie Ticketing platform","Mumbai","Stripes Group, Network 18, Accel Partners, SAIF Partners","Private Equity",8.2e+07,NA
840,"05/07/2016","Flyrobe","eCommerce","Online fashion rental platform","Mumbai","Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain","Seed Funding",1700000,NA
841,"06/07/2016","HappilyUnmarried","eCommerce","Online Merchandize etailer","New Delhi","Info Edge (India) Ltd","Private Equity",740000,NA
842,"06/07/2016","Don’t Scratch Your Head","Technology","Full Stack Offline & Online ERP Solution","Ahmedabad","Gaurav Singhvi, Zaffiro Ventures","Seed Funding",250000,NA
843,"06/07/2016","Wedding Wishlist","Consumer Internet","Wedding Wishlist, Gifts & Registry Creation platform","Chennai","Kirthiga Reddy, Renuka Ramanath,Cherry Tin","Seed Funding",297000,NA
844,"07/07/2016","AppDaily","Technology","Mobile Security App development & Distribution","Mumbai","Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,","Private Equity",2e+06,NA
845,"07/07/2016","Adytude","Consumer Internet","Gamified Consumer Insights Portal","New Delhi","Indian Angel Network","Private Equity",1e+06,NA
846,"07/07/2016","Quickli","Logistics","On-Demand Delivery Startup","Gurgaon","AVG Group, 500 Startups","Private Equity",NA,NA
847,"07/07/2016","SpectraVR","Technology","Virtual Reality Content Studio","Mumbai","Rothenberg Ventures","Seed Funding",NA,NA
848,"08/07/2016","Pitstop","Consumer Internet","Online Car Repair and Servicing Booking platform","Bangalore","Alex Chua, Rahul Garg","Seed Funding",NA,NA
849,"08/07/2016","HolaChef","Consumer Internet","Online Food Ordering & Delivery Platform","Mumbai","Kalaari Capital, India Quotient","Private Equity",1950000,NA
850,"11/07/2016","Purplle","eCommerce","Beauty Products Marketplace","Mumbai","JSW Ventures, Blume Ventures & IvyCap Ventures","Private Equity",6e+06,NA
851,"11/07/2016","Trak N Tell","Technology","Car Tracking & Safety System","Gurgaon","Brian Acton","Private Equity",3500000,NA
852,"11/07/2016","Overcart.com","eCommerce","Unboxed & refurbished electronic products marketplace","Gurgaon","JSW Ventures, Omidyar Network, Sattva Capital, Venture Works","Private Equity",3e+06,NA
853,"12/07/2016","SirionLabs","Technology","SAAS based Service Agreement Management","Gurgaon","Sequoia Capital","Private Equity",12250000,NA
